Outros,Qtd,Unit,Total
Fava seca | 1kg,,12,
Mel italiana | 250gr,,20,
Mel italiana | 500gr,,35,
Mel no favo | 450 gramas,,25,
Ovos de capoeira | a unidades,,1,
Polpa de cajá | 400gr,,6,
Própolis | 20 ml,,16,
Pão sem trigo (grande),,13,
Pão com trigo (grande),,13,
Pão com trigo (pequeno),,7,
Bolo (sem trigo),,10,
Bolinho de bacia (c/ trigo),,2,
Mini pizza (a unidade),,3,
Pizza brotinho (a unidade),,5,
Bolacha com trigo (o saquinho),,5,
Sucos com açucar (200 ml),,3,
Sucos sem açucar (200 ml),,3,
Sucos com ou sem açucar (1 litro),,10,
Refeições congeladas (500gr),,12,
Refeições congeladas (750gr),,15,
Hambúrguer de ora-pro-nóbis | 6 unidades,,12,
Molhos prontos,,10,
Massa artesanal (lasanha ou taglatelle),,12,